venue_name,city,state,country,capacity,venue_type,longitude,latitude
9:30 Club,Washington D.C.,none,USA,1200,Club,-77.02370,38.91790
Acrisure Stadium,Pittsburgh,PA,USA,68400,Stadium,-80.01580,40.44680
Capital One Arena,Washington D.C.,none,USA,20356,Arena,-77.02090,38.89820
Eagle Bank Arena,Fairfax,VA,USA,10000,Arena,-77.30970,38.82690
Elevation 27,Virginia Beach,VA,USA,600,Club,-76.01950,36.84930
Gröna Lund,Stockholm,none,Sweden,30000,Amusement Park,18.09640,59.32340
Jiffy Lube Live,Bristow,VA,USA,25262,Amphitheater,-77.58960,38.78590
Merriweather Post Pavilion,Columbia,MD,USA,19319,Amphitheater,-76.86270,39.20890
MetLife Stadium, East Rutherford,NJ,USA,82500,Stadium,-74.07450,40.81350
Pier Six Pavilion,Baltamore,MD,USA,4600,Concert Hall ,-76.60440,39.28400
PPG Paints Arena,Pittsburgh,PA,USA,19758,Arena,-79.98960,40.43930
Rock N Roll Hotel,Washington D.C.,none,USA,400,Club,-76.98650,38.89990
The Anthem,Washington D.C.,none,USA,6000,Music Venue,-77.02610,38.88010
The Fillmore Silver Spring,Silver Spring,MD,USA,1100,Music Venue,-77.02740,38.99730
The National,Richmond,VA,USA,1500,Theater,-77.43520,37.54190
The NorVa,Norfolk,VA,USA,1450,Theater,-76.28950,36.85020
Wolf Trap,Vienna,VA,USA,7024,Concert Hall ,-77.26710,38.94100
